"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop"
"DF1",0.2,0,0,0,0,0,0,0,0,0,805,0,0
"DF1",0.2,0,1,1,0,1,0,0,0,3,607,0.00494233937397035,0.00494233937397035
"DF1",0.2,0,1,0,4,3,5,0,7,20,5213,0.00383656244005371,0.00383656244005371
"DF1",0.2,0,0,0,0,1,0,1,0,2,629,0.00317965023847377,0.00317965023847377
"DF1",0.2,0,0,0,1,1,0,0,0,2,1077,0.00185701021355617,0.00185701021355617
"DF1",0.2,1,5,0,13,10,4,1,16,50,1246,0.0401284109149278,0.0401284109149278
"DF1",0.2,5,3,0,58,63,17,29,40,215,1010,0.212871287128713,0.212871287128713
"DF1",0.2,0,0,0,1,1,0,1,1,4,1027,0.00389483933787731,0.00389483933787731
"DF1",0.2,0,0,0,0,1,0,1,1,3,1087,0.00275988960441582,0.00275988960441582
"DF1",0.2,8,11,5,75,53,25,42,49,268,1158,0.231433506044905,0.231433506044905
"DF1",0.2,0,0,0,0,0,0,1,0,1,787,0.00127064803049555,0.00127064803049555
"DF1",0.2,0,0,0,1,1,0,0,1,3,644,0.0046583850931677,0.0046583850931677
"DF1",0.2,0,0,0,1,1,0,1,0,3,1077,0.00278551532033426,0.00278551532033426
"DF1",0.2,0,0,0,0,3,0,0,2,5,2013,0.00248385494287134,0.00248385494287134
"DF1",0.2,0,0,0,1,1,0,0,0,2,987,0.00202634245187437,0.00202634245187437
"DF1",0.2,0,0,1,1,1,0,1,1,5,1770,0.00282485875706215,0.00282485875706215
"DF1",0.2,2,17,9,40,91,10,22,27,218,1375,0.158545454545455,0.158545454545455
"DF1",0.2,0,0,0,1,1,0,0,0,2,683,0.00292825768667643,0.00292825768667643
"DF1",0.2,0,0,1,9,6,0,7,8,31,11767,0.00263448627517634,0.00263448627517634
"DF1",0.2,0,1,0,0,1,1,2,3,8,799,0.0100125156445557,0.0100125156445557
"DF1",0.2,0,0,0,0,0,0,0,1,1,1169,0.000855431993156544,0.000855431993156544
"DF1",0.2,0,0,0,0,1,1,2,0,4,958,0.00417536534446764,0.00417536534446764
"DF1",0.2,0,0,0,0,0,0,0,0,0,781,0,0
"DF1",0.2,0,0,1,0,1,1,1,0,4,860,0.00465116279069767,0.00465116279069767
"DF1",0.2,0,1,0,1,4,0,0,1,7,2112,0.00331439393939394,0.00331439393939394
"DF1",0.2,45,114,33,297,462,6,734,218,1909,11114,0.171765341011337,0.171765341011337
"DF1",0.2,0,0,0,2,5,1,1,1,10,3644,0.00274423710208562,0.00274423710208562
"DF1",0.2,0,0,0,0,2,0,0,1,3,1733,0.00173110213502597,0.00173110213502597
"DF1",0.2,8,13,14,56,112,14,58,37,312,1140,0.273684210526316,0.273684210526316
"DF1",0.2,1,0,0,0,0,0,2,1,4,1245,0.00321285140562249,0.00321285140562249
"DF1",0.2,0,0,0,0,0,0,0,2,2,848,0.00235849056603774,0.00235849056603774
"DF1",0.2,1,7,0,75,80,0,94,106,363,1462,0.248290013679891,0.248290013679891
"DF1",0.2,0,1,0,0,3,0,0,1,5,1455,0.00343642611683849,0.00343642611683849
"DF1",0.2,1,0,0,0,0,0,0,1,2,1183,0.00169061707523246,0.00169061707523246
"DF1",0.2,0,0,0,0,0,0,0,1,1,820,0.00121951219512195,0.00121951219512195
"DF1",0.2,2,2,1,11,7,1,7,10,41,1818,0.0225522552255226,0.0225522552255226
"DF1",0.2,1,0,0,1,4,1,2,5,14,5160,0.00271317829457364,0.00271317829457364
"DF1",0.2,0,0,1,5,6,3,1,4,20,5237,0.00381898033225129,0.00381898033225129
"DF1",0.2,0,0,0,2,8,0,0,3,13,679,0.0191458026509573,0.0191458026509573
"DF1",0.2,0,0,0,1,3,0,1,2,7,869,0.00805523590333717,0.00805523590333717
"DF1",0.2,0,1,0,0,0,0,1,3,5,2231,0.00224114746750336,0.00224114746750336
"DF1",0.2,0,5,0,32,79,13,23,43,195,1366,0.142752562225476,0.142752562225476
"DF1",0.2,0,0,0,4,0,0,1,3,8,2993,0.00267290344136318,0.00267290344136318
"DF1",0.2,0,0,0,5,1,1,4,2,13,2236,0.00581395348837209,0.00581395348837209
"DF1",0.2,0,0,0,0,1,0,1,0,2,1052,0.00190114068441065,0.00190114068441065
"DF1",0.2,0,0,0,0,0,0,0,1,1,642,0.00155763239875389,0.00155763239875389
"DF1",0.2,0,0,0,8,4,2,3,5,22,4436,0.00495942290351668,0.00495942290351668
"DF1",0.2,0,0,0,1,2,0,1,1,5,1161,0.00430663221360896,0.00430663221360896
"DF1",0.2,0,0,0,0,0,0,2,0,2,1039,0.00192492781520693,0.00192492781520693
"DF1",0.2,0,2,1,13,15,8,11,7,57,15666,0.0036384527001149,0.0036384527001149
"DF1",0.2,0,0,0,1,1,2,1,0,5,1818,0.00275027502750275,0.00275027502750275
"DF1",0.2,0,0,1,2,0,2,2,3,10,2742,0.00364697301239971,0.00364697301239971
"DF1",0.2,0,1,0,3,4,1,4,1,14,1408,0.00994318181818182,0.00994318181818182
"DF1",0.2,0,8,4,128,75,48,78,97,438,1878,0.233226837060703,0.233226837060703
"DF1",0.2,0,0,0,1,0,1,1,0,3,2018,0.00148662041625372,0.00148662041625372
"DF1",0.2,2,7,3,105,62,29,42,41,291,823,0.353584447144593,0.353584447144593
"DF1",0.2,3,11,0,34,43,3,36,46,176,5939,0.0296346186226637,0.0296346186226637
"DF1",0.2,0,0,0,1,0,1,0,0,2,898,0.0022271714922049,0.0022271714922049
"DF1",0.2,4,6,4,52,58,2,20,28,174,1001,0.173826173826174,0.173826173826174
"DF1",0.2,0,0,0,1,5,0,3,0,9,813,0.011070110701107,0.011070110701107
"DF1",0.2,0,0,0,2,3,1,4,2,12,2441,0.00491601802539943,0.00491601802539943
"DF1",0.2,0,0,0,0,1,0,1,2,4,1116,0.003584229390681,0.003584229390681
"DF1",0.2,0,0,0,0,0,0,0,0,0,898,0,0
"DF1",0.2,0,0,0,0,2,0,1,2,5,1206,0.00414593698175788,0.00414593698175788
"DF1",0.2,1,0,0,1,0,0,2,1,5,1779,0.00281056773468241,0.00281056773468241
"DF1",0.2,3,7,16,59,93,60,139,102,479,6862,0.069804721655494,0.069804721655494
"DF1",0.2,1,12,8,134,77,27,27,71,357,1012,0.352766798418972,0.352766798418972
"DF1",0.2,2,0,3,12,28,3,20,5,73,4053,0.0180113496175672,0.0180113496175672
"DF1",0.2,0,0,0,1,1,0,0,1,3,1900,0.00157894736842105,0.00157894736842105
"DF1",0.2,2,5,0,0,24,8,20,34,93,930,0.1,0.1
