Strain,Cell,Rep,MOI,Time,PFU
WF10,MDCK,4,0.1,48,1650000
WF10,MDCK,5,0.1,1,350
WF10,MDCK,5,0.1,2,49
WF10,MDCK,5,0.1,4,49
WF10,MDCK,5,0.1,6,
WF10,MDCK,5,0.1,8,
WF10,MDCK,5,0.1,12,800
WF10,MDCK,5,0.1,16,68500
WF10,MDCK,5,0.1,24,1250000
WF10,MDCK,5,0.1,48,1550000
WF10,MDCK,6,0.1,1,200
WF10,MDCK,6,0.1,2,49
WF10,MDCK,6,0.1,4,49
WF10,MDCK,6,0.1,6,
WF10,MDCK,6,0.1,8,
WF10,MDCK,6,0.1,12,400
WF10,MDCK,6,0.1,16,57000
WF10,MDCK,6,0.1,24,2550000
WF10,MDCK,6,0.1,48,1200000
WF10,MDCK,4,0.05,1,150
WF10,MDCK,4,0.05,2,49
WF10,MDCK,4,0.05,4,49
WF10,MDCK,4,0.05,6,
WF10,MDCK,4,0.05,8,
WF10,MDCK,4,0.05,12,50
WF10,MDCK,4,0.05,16,9650
WF10,MDCK,4,0.05,24,330000
WF10,MDCK,4,0.05,48,270000
WF10,MDCK,5,0.05,1,250
WF10,MDCK,5,0.05,2,49
WF10,MDCK,5,0.05,4,49
WF10,MDCK,5,0.05,6,
WF10,MDCK,5,0.05,8,
WF10,MDCK,5,0.05,12,49
WF10,MDCK,5,0.05,16,7000
WF10,MDCK,5,0.05,24,200000
WF10,MDCK,5,0.05,48,275000
WF10,MDCK,6,0.05,1,49
WF10,MDCK,6,0.05,2,49
WF10,MDCK,6,0.05,4,49
WF10,MDCK,6,0.05,6,
WF10,MDCK,6,0.05,8,
WF10,MDCK,6,0.05,12,49
WF10,MDCK,6,0.05,16,8650
WF10,MDCK,6,0.05,24,375000
WF10,MDCK,6,0.05,48,195000
WF10,MDCK,4,0.01,1,49
WF10,MDCK,4,0.01,2,49
WF10,MDCK,4,0.01,4,49
WF10,MDCK,4,0.01,6,
WF10,MDCK,4,0.01,8,
WF10,MDCK,4,0.01,12,49
WF10,MDCK,4,0.01,16,250
WF10,MDCK,4,0.01,24,5625
WF10,MDCK,4,0.01,48,6750
WF10,MDCK,5,0.01,1,49
WF10,MDCK,5,0.01,2,49
WF10,MDCK,5,0.01,4,49
WF10,MDCK,5,0.01,6,
WF10,MDCK,5,0.01,8,
WF10,MDCK,5,0.01,12,49
WF10,MDCK,5,0.01,16,49
WF10,MDCK,5,0.01,24,5800
WF10,MDCK,5,0.01,48,9150
WF10,MDCK,6,0.01,1,49
WF10,MDCK,6,0.01,2,49
WF10,MDCK,6,0.01,4,49
WF10,MDCK,6,0.01,6,
WF10,MDCK,6,0.01,8,
WF10,MDCK,6,0.01,12,49
WF10,MDCK,6,0.01,16,50
WF10,MDCK,6,0.01,24,21500
WF10,MDCK,6,0.01,48,7500
MN99,MDCK,1,0.1,0,
MN99,MDCK,1,0.1,2,
MN99,MDCK,1,0.1,4,
MN99,MDCK,1,0.1,6,
MN99,MDCK,1,0.1,8,
MN99,MDCK,1,0.1,12,
MN99,MDCK,1,0.1,16,
MN99,MDCK,1,0.1,24,
MN99,MDCK,1,0.1,48,
MN99,MDCK,2,0.1,0,
MN99,MDCK,2,0.1,2,
MN99,MDCK,2,0.1,4,
MN99,MDCK,2,0.1,6,
MN99,MDCK,2,0.1,8,
MN99,MDCK,2,0.1,12,
MN99,MDCK,2,0.1,16,
