Strain,Cell,Rep,MOI,Time,PFU
NL09,MDCK,5,0.01,4,49
NL09,MDCK,5,0.05,4,49
NL09,MDCK,5,0.1,4,49
NL09,MDCK,5,1,4,49
NL09,MDCK,5,0.01,12,49
NL09,MDCK,5,0.05,12,50
NL09,MDCK,5,0.1,12,150
NL09,MDCK,5,1,12,1450
NL09,MDCK,5,0.01,16,1050
NL09,MDCK,5,0.05,16,9000
NL09,MDCK,5,0.1,16,11500
NL09,MDCK,5,1,16,26500
NL09,MDCK,5,0.01,24,7000
NL09,MDCK,5,0.05,24,30500
NL09,MDCK,5,0.1,24,54500
NL09,MDCK,5,1,24,79000
NL09,MDCK,5,0.01,48,9000
NL09,MDCK,5,0.05,48,38000
NL09,MDCK,5,0.1,48,40500
NL09,MDCK,5,1,48,80000
NL09,MDCK,6,0.01,1,49
NL09,MDCK,6,0.05,1,100
NL09,MDCK,6,0.1,1,200
NL09,MDCK,6,1,1,950
NL09,MDCK,6,0.01,2,49
NL09,MDCK,6,0.05,2,49
NL09,MDCK,6,0.1,2,49
NL09,MDCK,6,1,2,49
NL09,MDCK,6,0.01,4,49
NL09,MDCK,6,0.05,4,49
NL09,MDCK,6,0.1,4,49
NL09,MDCK,6,1,4,49
NL09,MDCK,6,0.01,12,100
NL09,MDCK,6,0.05,12,49
NL09,MDCK,6,0.1,12,200
NL09,MDCK,6,1,12,650
NL09,MDCK,6,0.01,16,1250
NL09,MDCK,6,0.05,16,3950
NL09,MDCK,6,0.1,16,9500
NL09,MDCK,6,1,16,16000
NL09,MDCK,6,0.01,24,6000
NL09,MDCK,6,0.05,24,23000
NL09,MDCK,6,0.1,24,31500
NL09,MDCK,6,1,24,100000
NL09,MDCK,6,0.01,48,14500
NL09,MDCK,6,0.05,48,40500
NL09,MDCK,6,0.1,48,100000
NL09,MDCK,6,1,48,135000
