"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","mVarPB2","mVarPB1","mVarPA","mVarHA","mVarNP","mVarNA","mVarM","mVarNS","mHelperPB2","mHelperPB1","mHelperPA","mHelperHA","mHelperNP","mHelperNA","mHelperM","mHelperNS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop"
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,164,140,23,24,86,445,3206,0.138802245789145,0
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,12,10,2,1,6,5,2,0,29,38,14,12,21,152,1710,0.0888888888888889,0.0181286549707602
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,9,1217,0.00739523418241578,0
"DF1",0.02,0,1,1,0,2,1,2,0,0,0,0,2,1,1,0,1,3,3,4,112,150,60,96,162,602,3083,0.195264352903017,0.00389231268245216
"DF1",0.02,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,2,11,1883,0.00584174190122146,0.00106213489113117
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,8,0,8,10,32,1148,0.0278745644599303,0
"DF1",0.02,0,0,0,0,0,0,0,0,4,0,0,0,19,28,0,0,11,17,31,324,194,175,10,31,844,9530,0.0885624344176285,0.00535152151101784
"DF1",0.02,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,18,10,300,99,3,100,108,648,2107,0.307546274323683,0.00094921689606075
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,45,42,12,9,17,129,796,0.162060301507538,0
"DF1",0.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,14,24,6,7,13,68,792,0.0858585858585859,0.00126262626262626
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,72,39,46,71,43,281,1312,0.214176829268293,0
"DF1",0.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,7,11,6,7,15,53,22288,0.00237796123474515,0.0000448671931083991
"DF1",0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,10,2,2,11,34,2962,0.0114787305874409,0
"DF1",0.07,1,23,42,5,55,1,102,150,2,7,1,51,68,34,69,203,7,180,14,884,422,224,578,1001,4124,10796,0.381993330863283,0.0753982956650611
"DF1",0.07,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,6,1,1,5,23,923,0.0249187432286024,0.00433369447453954
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2,2,9,4,29,1157,0.0250648228176318,0
"DF1",0.07,0,0,0,13,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,27,14,4,9,12,83,990,0.0838383838383838,0.0151515151515152
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,10,0,152,80,27,22,47,343,1980,0.173232323232323,0.000505050505050505
"DF1",0.07,0,1,0,0,3,0,1,3,3,6,74,142,260,31,56,61,23,103,9,338,582,189,568,1078,3531,16736,0.210982313575526,0.0383006692160612
"DF1",0.07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,19,27,1,31,17,102,2193,0.0465116279069767,0.000455996352029184
"DF1",0.07,0,0,0,1,0,0,0,0,1,1,0,7,0,0,13,0,0,1,0,84,55,48,62,211,484,3371,0.14357757342035,0.0068229012162563
"DF1",0.07,0,0,0,0,0,0,0,0,9,0,2,0,3,6,3,11,26,22,4,129,95,77,67,84,538,8242,0.0652754185877214,0.00412521232710507
"DF1",0.07,0,2,0,4,0,0,2,3,2,5,0,51,17,16,41,111,12,20,10,2291,236,132,330,890,4175,16154,0.258449919524576,0.0157236597746688
"DF1",0.07,0,0,0,2,0,0,1,4,0,1,0,0,2,1,1,3,3,36,13,719,646,265,545,1775,4017,17789,0.225813705098656,0.000843217718814998
"DF1",0.07,0,0,0,0,1,0,0,0,0,0,0,9,5,3,1,6,0,2,0,41,20,10,13,14,125,1691,0.0739207569485512,0.0147841513897102
"DF1",0.07,2,0,0,3,3,1,2,1,0,0,0,3,2,1,1,3,1,7,2,52,81,26,32,62,285,31759,0.0089738341887339,0.000692717025095249
"DF1",0.07,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,3,0,28,16,2,3,11,69,1939,0.035585353274884,0.00309437854564208
"DF1",0.07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,29,25,10,12,10,90,1662,0.0541516245487365,0.000601684717208183
"DF1",0.07,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,2,0,1,1,32,22,35,15,24,137,1023,0.133919843597263,0.00684261974584555
"DF1",0.07,0,1,1,0,4,0,3,6,0,0,0,1,0,1,0,0,0,1,2,4,13,2,6,3,48,1869,0.0256821829855538,0.00909577314071696
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,12,4,5,9,38,1454,0.0261348005502063,0
"DF1",0.07,0,0,0,4,9,2,3,0,0,0,0,0,0,0,0,0,1,5,0,99,116,16,19,35,309,951,0.324921135646688,0.0189274447949527
"DF1",0.07,0,0,0,0,0,0,0,1,0,1,1,3,1,2,0,6,0,1,1,39,27,8,14,23,128,1031,0.124151309408341,0.01454898157129
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,98,79,28,36,59,305,1017,0.299901671583088,0
"DF1",0.07,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,3,6,3,3,7,28,3059,0.0091533180778032,0.0013076168682576
"DF1",0.07,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,4,0,44,34,13,12,30,142,1596,0.0889724310776942,0.0031328320802005
"DF1",0.07,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,3,2,22,28,6,20,25,111,10306,0.0107704249951485,0.000388123423248593
"DF1",0.07,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,30,28,28,31,28,151,1971,0.0766108574327752,0.00101471334348047
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,32,27,5,7,14,93,907,0.102535832414553,0
"DF1",0.07,0,0,0,0,2,2,1,7,0,0,0,0,0,0,0,0,0,1,0,30,23,15,7,24,112,1328,0.0843373493975904,0.00903614457831325
"DF1",0.07,0,2,0,40,13,11,13,3,0,0,0,1,1,0,0,0,3,5,2,96,116,28,58,31,423,1545,0.27378640776699,0.054368932038835
"DF1",0.07,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,22,17,2,9,15,70,2849,0.0245700245700246,0.00105300105300105
"DF1",0.07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,3,6,8,37,4738,0.007809202195019,0.000211059518784297
"DF1",0.07,0,0,0,1,2,0,0,1,0,0,0,1,1,1,0,1,1,20,17,442,250,231,486,315,1770,4984,0.355136436597111,0.00160513643659711
"DF1",0.07,2,3,1,25,28,4,22,46,0,0,1,0,0,0,1,2,1,7,2,120,131,33,163,193,785,4582,0.171322566564819,0.0294631165429943
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,9,1,2,6,24,1297,0.0185042405551272,0.000771010023130301
"DF1",0.07,4,1,2,14,30,23,6,46,0,0,0,1,0,0,1,1,7,13,12,166,96,119,132,182,856,5792,0.147790055248619,0.0222720994475138
"DF1",0.07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,27,30,11,17,21,111,4026,0.0275707898658718,0.000248385494287134
"DF1",0.07,1,0,0,1,4,0,6,2,0,2,0,2,1,1,0,0,9,10,16,30,109,9,39,146,388,11814,0.0328423903842898,0.00169290672083968
"DF1",0.07,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,7,4,39,28,4,14,21,123,1317,0.0933940774487472,0.00303720577069096
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,4,43,43,11,10,29,147,1404,0.104700854700855,0.000712250712250712
"DF1",0.07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,7,222,302,54,43,72,712,2432,0.292763157894737,0.000411184210526316
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,99,79,16,41,28,270,1213,0.222588623248145,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,1,156,79,16,15,34,309,1220,0.25327868852459,0.000819672131147541
"DF1",0.07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,28,1,101,149,45,95,62,493,1900,0.259473684210526,0.000526315789473684
"DF1",0.07,0,1,1,2,25,0,8,11,0,0,0,0,0,0,0,0,1,5,0,65,60,7,15,18,219,1993,0.109884596086302,0.0240842950326141
"DF1",0.07,1,0,1,8,3,5,1,1,0,0,0,0,0,0,0,1,4,3,1,75,48,12,20,32,216,933,0.231511254019293,0.022508038585209
"DF1",0.07,0,0,0,0,2,1,0,0,0,1,0,12,8,0,2,0,2,4,2,97,55,17,13,26,242,1334,0.181409295352324,0.0194902548725637
"DF1",0.07,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,1,0,0,74,34,18,22,26,184,889,0.206974128233971,0.0101237345331834
"DF1",0.07,0,2,1,31,34,1,16,32,0,0,1,1,1,0,0,0,0,5,0,48,38,12,17,26,266,2419,0.1099627945432,0.0496072757337743
"DF1",0.07,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,11,0,118,68,23,58,19,300,1131,0.26525198938992,0.0026525198938992
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,3,5,22,46,20,18,22,144,1013,0.142152023692004,0.000987166831194472
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,6,15,35,3975,0.00880503144654088,0
"DF1",0.07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,23,18,6,5,16,74,1075,0.0688372093023256,0.000930232558139535
"DF1",0.07,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,5,150,62,32,20,51,327,1126,0.290408525754885,0.00177619893428064
"DF1",0.07,0,0,0,0,0,0,1,0,0,0,0,0,9,4,6,4,2,2,2,101,17,17,26,26,217,1330,0.163157894736842,0.0180451127819549
"DF1",0.07,0,1,0,7,3,3,3,1,0,0,0,0,0,0,0,0,0,8,1,98,35,22,52,57,291,1253,0.232242617717478,0.014365522745411
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,15,10,102,42,24,6,53,257,2533,0.101460718515594,0.000394788787998421
"DF1",0.07,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11,5,52,25,29,20,59,203,3145,0.0645468998410175,0.000635930047694754
"DF1",0.07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,2,53,47,14,23,31,180,1665,0.108108108108108,0.000600600600600601
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,3,9,1247,0.00721732157177225,0
"DF1",0.07,0,0,1,10,2,2,6,0,0,1,0,0,0,0,0,0,1,5,1,59,40,8,21,33,190,1003,0.189431704885344,0.0219341974077767
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,10,6,5,8,41,2502,0.0163868904876099,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,2,8,979,0.00817160367722165,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,34,25,7,7,25,105,2001,0.0524737631184408,0
"DF1",0.07,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,40,19,7,12,25,109,1137,0.0958663148636763,0.00351802990325418
"DF1",0.07,0,0,0,0,1,0,0,0,1,0,1,0,22,0,19,17,2,7,14,333,137,71,100,93,818,3838,0.213131839499739,0.0158936946326212
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,49,46,9,20,24,154,1188,0.12962962962963,0
"DF1",0.07,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,15,27,9,11,21,90,1392,0.0646551724137931,0.00431034482758621
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,79,56,33,19,44,243,1298,0.187211093990755,0
"DF1",0.07,0,0,0,1,0,0,0,0,0,0,2,25,4,20,8,8,5,15,2,78,109,85,36,72,470,1664,0.282451923076923,0.0408653846153846
"DF1",0.07,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,4,12,3,207,206,73,156,40,705,2949,0.239064089521872,0.00135639199728722
"DF1",0.07,0,0,0,8,9,0,0,4,0,0,1,13,7,3,2,3,0,1,2,65,41,26,33,44,262,1335,0.19625468164794,0.0374531835205993
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,6,56,23,12,18,26,146,1825,0.08,0.0010958904109589
"DF1",0.07,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,3,0,7,14,2,7,7,45,3842,0.0117126496616346,0.0013014055179594
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,2,601,23,371,25,18,1053,2258,0.466341895482728,0.000442869796279894
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,9,6,1,10,17,48,1458,0.0329218106995885,0.00205761316872428
"DF1",0.07,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,0,63,84,35,24,27,242,1281,0.188914910226386,0.00156128024980484
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,3,1,71,41,32,18,31,204,3493,0.058402519324363,0.00143143429716576
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,9,5,6,11,42,3224,0.0130272952853598,0.000620347394540943
"DF1",0.07,0,0,0,0,0,0,0,0,0,1,0,58,0,2,0,0,0,3,1,76,70,47,35,63,356,2220,0.16036036036036,0.0274774774774775
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,1,85,75,36,14,21,240,1876,0.127931769722815,0.000533049040511727
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,6,2,0,4,2,1,2,0,23,9,13,26,24,112,1646,0.0680437424058323,0.00850546780072904
"DF1",0.07,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,6,12,7,7,8,45,6080,0.00740131578947368,0.000493421052631579
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,3,11,1337,0.00822737471952132,0
"DF1",0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,11,1285,0.00856031128404669,0
"DF1",0.07,0,1,0,102,10,43,1,0,0,0,1,1,0,1,0,0,5,5,3,377,60,303,44,134,1091,3252,0.335485854858549,0.04920049200492
"DF1",0.07,0,0,0,6,0,3,1,4,0,0,0,9,1,5,1,2,1,1,1,39,27,31,9,24,165,893,0.184770436730123,0.0358342665173572
"DF1",0.07,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,3,21,10,4,14,6,62,2344,0.0264505119453925,0.00170648464163823
"DF1",0.07,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,12,1,2,5,31,1413,0.0219391365888181,0.00424628450106157
